name,stars,url,query_found_in
avelino/awesome-go,135836,https://github.com/avelino/awesome-go,1
nlohmann/json,43965,https://github.com/nlohmann/json,1
0voice/interview_internal_reference,36742,https://github.com/0voice/interview_internal_reference,3
sorrycc/awesome-javascript,33832,https://github.com/sorrycc/awesome-javascript,3
veggiemonk/awesome-docker,30930,https://github.com/veggiemonk/awesome-docker,1
jobbole/awesome-python-cn,29002,https://github.com/jobbole/awesome-python-cn,3
viatsko/awesome-vscode,25586,https://github.com/viatsko/awesome-vscode,3
aquasecurity/trivy,24260,https://github.com/aquasecurity/trivy,1
cilium/cilium,20644,https://github.com/cilium/cilium,1
dexteryy/spellbook-of-modern-webdev,17259,https://github.com/dexteryy/spellbook-of-modern-webdev,3
RunaCapital/awesome-oss-alternatives,17069,https://github.com/RunaCapital/awesome-oss-alternatives,1
openobserve/openobserve,13995,https://github.com/openobserve/openobserve,1
h4cc/awesome-elixir,12746,https://github.com/h4cc/awesome-elixir,3
anchore/grype,9199,https://github.com/anchore/grype,"1,3,4"
bitnami/charts,9163,https://github.com/bitnami/charts,"1,3"
moklick/frontend-stuff,8785,https://github.com/moklick/frontend-stuff,3
codenotary/immudb,8660,https://github.com/codenotary/immudb,1
jobbole/awesome-javascript-cn,7771,https://github.com/jobbole/awesome-javascript-cn,3
ko-build/ko,7751,https://github.com/ko-build/ko,1
jart/blink,7039,https://github.com/jart/blink,3
HubSpot/vex,6922,https://github.com/HubSpot/vex,3
nomi-sec/PoC-in-GitHub,6636,https://github.com/nomi-sec/PoC-in-GitHub,3
anchore/syft,6462,https://github.com/anchore/syft,"1,2"
abhivaikar/howtheytest,6081,https://github.com/abhivaikar/howtheytest,1
kyverno/kyverno,5913,https://github.com/kyverno/kyverno,1
sottlmarek/DevSecOps,5839,https://github.com/sottlmarek/DevSecOps,1
stefanprodan/podinfo,5479,https://github.com/stefanprodan/podinfo,1
yinggaozhen/awesome-go-cn,4977,https://github.com/yinggaozhen/awesome-go-cn,1
strimzi/strimzi-kafka-operator,4939,https://github.com/strimzi/strimzi-kafka-operator,1
nginxinc/kubernetes-ingress,4695,https://github.com/nginxinc/kubernetes-ingress,1
sigstore/cosign,4635,https://github.com/sigstore/cosign,1
external-secrets/external-secrets,4600,https://github.com/external-secrets/external-secrets,1
docker/build-push-action,4496,https://github.com/docker/build-push-action,1
kiloreux/awesome-robotics,4490,https://github.com/kiloreux/awesome-robotics,3
google/highway,4325,https://github.com/google/highway,3
oxalorg/sakura,4176,https://github.com/oxalorg/sakura,3
0xfe/vexflow,3956,https://github.com/0xfe/vexflow,3
RetireJS/retire.js,3738,https://github.com/RetireJS/retire.js,"1,2"
bitnami/containers,3538,https://github.com/bitnami/containers,"1,3"
thi-ng/umbrella,3455,https://github.com/thi-ng/umbrella,3
killop/anything_about_game,3256,https://github.com/killop/anything_about_game,3
likeastore/ngDialog,3139,https://github.com/likeastore/ngDialog,3
audreyt/ethercalc,2975,https://github.com/audreyt/ethercalc,3
collabnix/kubetools,2932,https://github.com/collabnix/kubetools,1
e-m-b-a/emba,2827,https://github.com/e-m-b-a/emba,"1,2"
DependencyTrack/dependency-track,2776,https://github.com/DependencyTrack/dependency-track,"1,2,3"
SpinalHDL/VexRiscv,2540,https://github.com/SpinalHDL/VexRiscv,3
china-testing/python-api-tesing,2379,https://github.com/china-testing/python-api-tesing,3
carlsednaoui/ouibounce,2309,https://github.com/carlsednaoui/ouibounce,3
remy/mit-license,2273,https://github.com/remy/mit-license,3
pyparsing/pyparsing,2252,https://github.com/pyparsing/pyparsing,3
kennyledet/Algorithm-Implementations,2192,https://github.com/kennyledet/Algorithm-Implementations,3
aboutcode-org/scancode-toolkit,2176,https://github.com/aboutcode-org/scancode-toolkit,2
galaxykate/tracery,2136,https://github.com/galaxykate/tracery,3
HotCakeX/Harden-Windows-Security,2099,https://github.com/HotCakeX/Harden-Windows-Security,1
aws/aws-sdk-net,2078,https://github.com/aws/aws-sdk-net,1
herumi/xbyak,2073,https://github.com/herumi/xbyak,3
jasonwebb/morphogenesis-resources,2067,https://github.com/jasonwebb/morphogenesis-resources,3
Kong/insomnia-mockbin,2042,https://github.com/Kong/insomnia-mockbin,1
Gforcex/OpenGraphic,2009,https://github.com/Gforcex/OpenGraphic,3
oxsecurity/megalinter,2004,https://github.com/oxsecurity/megalinter,1
6mile/DevSecOps-Playbook,1934,https://github.com/6mile/DevSecOps-Playbook,1
vlang/awesome-v,1920,https://github.com/vlang/awesome-v,3
boxyhq/jackson,1907,https://github.com/boxyhq/jackson,1
HummerRisk/HummerRisk,1798,https://github.com/HummerRisk/HummerRisk,"1,2"
pyupio/safety,1768,https://github.com/pyupio/safety,1
projectcapsule/capsule,1703,https://github.com/projectcapsule/capsule,1
nginx/nginx-prometheus-exporter,1680,https://github.com/nginx/nginx-prometheus-exporter,1
toolleeo/awesome-cli-apps-in-a-csv,1677,https://github.com/toolleeo/awesome-cli-apps-in-a-csv,1
microsoft/sbom-tool,1671,https://github.com/microsoft/sbom-tool,"1,2"
oss-review-toolkit/ort,1641,https://github.com/oss-review-toolkit/ort,"1,2"
JingwenTian/awesome-frontend,1638,https://github.com/JingwenTian/awesome-frontend,3
anchore/anchore-engine,1586,https://github.com/anchore/anchore-engine,1
uhub/awesome-go,1583,https://github.com/uhub/awesome-go,1
google/osv.dev,1578,https://github.com/google/osv.dev,1
sonatype/docker-nexus3,1462,https://github.com/sonatype/docker-nexus3,1
zarf-dev/zarf,1448,https://github.com/zarf-dev/zarf,"1,2"
JakobTheDev/awesome-devsecops,1447,https://github.com/JakobTheDev/awesome-devsecops,1
lunasec-io/lunasec,1439,https://github.com/lunasec-io/lunasec,2
openclarity/openclarity,1364,https://github.com/openclarity/openclarity,"1,2"
regclient/regclient,1362,https://github.com/regclient/regclient,1
aquasecurity/trivy-operator,1331,https://github.com/aquasecurity/trivy-operator,1
guacsec/guac,1312,https://github.com/guacsec/guac,"2,3,4"
intel/cve-bin-tool,1278,https://github.com/intel/cve-bin-tool,"1,2,3"
OWASP/wrongsecrets,1257,https://github.com/OWASP/wrongsecrets,1
chainguard-dev/apko,1246,https://github.com/chainguard-dev/apko,1
Vancir/365-days-get-xuanwulab-job,1183,https://github.com/Vancir/365-days-get-xuanwulab-job,3
Nekrolm/ubbook,1151,https://github.com/Nekrolm/ubbook,3
espressif/vscode-esp-idf-extension,1114,https://github.com/espressif/vscode-esp-idf-extension,1
XmirrorSecurity/OpenSCA-cli,1106,https://github.com/XmirrorSecurity/OpenSCA-cli,"1,2"
xMasterX/all-the-plugins,1089,https://github.com/xMasterX/all-the-plugins,3
pe3zx/my-infosec-awesome,1071,https://github.com/pe3zx/my-infosec-awesome,1
ml-tooling/best-of-python-dev,1067,https://github.com/ml-tooling/best-of-python-dev,3
klauspost/cpuid,1062,https://github.com/klauspost/cpuid,3
owasp-dep-scan/dep-scan,1045,https://github.com/owasp-dep-scan/dep-scan,"1,2,3,4"
taielab/awesome-hacking-lists,1039,https://github.com/taielab/awesome-hacking-lists,1
cgwire/awesome-cg-vfx-pipeline,1033,https://github.com/cgwire/awesome-cg-vfx-pipeline,3
adoptium/temurin-build,1031,https://github.com/adoptium/temurin-build,1
pypa/pip-audit,994,https://github.com/pypa/pip-audit,1
jhorikawa/HoudiniHowtos,986,https://github.com/jhorikawa/HoudiniHowtos,4
tern-tools/tern,971,https://github.com/tern-tools/tern,"1,2"
jonrau1/ElectricEye,968,https://github.com/jonrau1/ElectricEye,1
petk/awesome-jquery,942,https://github.com/petk/awesome-jquery,3
uhub/awesome-javascript,930,https://github.com/uhub/awesome-javascript,1
replicatedhq/kots,905,https://github.com/replicatedhq/kots,1
alphaSeclab/awesome-network-stuff,879,https://github.com/alphaSeclab/awesome-network-stuff,3
vilaca/awesome-k8s-tools,875,https://github.com/vilaca/awesome-k8s-tools,1
beeware/voc,867,https://github.com/beeware/voc,3
jakoch/awesome-composer,865,https://github.com/jakoch/awesome-composer,1
aquasecurity/trivy-action,857,https://github.com/aquasecurity/trivy-action,1
tcosolutions/betterscan,835,https://github.com/tcosolutions/betterscan,1
Jieyab89/OSINT-Cheat-sheet,801,https://github.com/Jieyab89/OSINT-Cheat-sheet,1
nsacyber/Hardware-and-Firmware-Security-Guidance,784,https://github.com/nsacyber/Hardware-and-Firmware-Security-Guidance,1
replicatedhq/kURL,761,https://github.com/replicatedhq/kURL,1
kiryha/Houdini,755,https://github.com/kiryha/Houdini,"3,4"
qLab/qLib,749,https://github.com/qLab/qLib,3
amanbolat/awesome-go-with-stars,736,https://github.com/amanbolat/awesome-go-with-stars,1
aquasecurity/chain-bench,735,https://github.com/aquasecurity/chain-bench,1
jtomori/vex_tutorial,721,https://github.com/jtomori/vex_tutorial,"3,4"
package-url/purl-spec,716,https://github.com/package-url/purl-spec,"1,2"
scofield7419/sequence-labeling-BiLSTM-CRF,701,https://github.com/scofield7419/sequence-labeling-BiLSTM-CRF,3
bitbomdev/minefield,699,https://github.com/bitbomdev/minefield,"1,2"
rust-secure-code/cargo-auditable,689,https://github.com/rust-secure-code/cargo-auditable,"1,2"
shlomiassaf/ngx-modialog,685,https://github.com/shlomiassaf/ngx-modialog,3
ARPSyndicate/puncia,645,https://github.com/ARPSyndicate/puncia,"1,2"
McGill-DMaS/Kam1n0-Community,622,https://github.com/McGill-DMaS/Kam1n0-Community,3
CycloneDX/cdxgen,603,https://github.com/CycloneDX/cdxgen,"1,2"
nforest/awesome-decompilation,601,https://github.com/nforest/awesome-decompilation,3
graalvm/graalvm-demos,599,https://github.com/graalvm/graalvm-demos,1
onevcat/XUPorter,598,https://github.com/onevcat/XUPorter,3
CargoSense/vex,597,https://github.com/CargoSense/vex,3
0xfe/vextab,597,https://github.com/0xfe/vextab,3
morris821028/UVa,562,https://github.com/morris821028/UVa,3
replicatedhq/troubleshoot,547,https://github.com/replicatedhq/troubleshoot,1
devops-kung-fu/bomber,535,https://github.com/devops-kung-fu/bomber,"1,2"
m-sec-org/d-eyes,535,https://github.com/m-sec-org/d-eyes,1
BeaEngine/beaengine,526,https://github.com/BeaEngine/beaengine,3
nginx/nginx-gateway-fabric,524,https://github.com/nginx/nginx-gateway-fabric,1
maguowei/awesome-stars,519,https://github.com/maguowei/awesome-stars,1
SimonBlanke/Hyperactive,515,https://github.com/SimonBlanke/Hyperactive,1
Cr4sh/openreil,497,https://github.com/Cr4sh/openreil,3
Aeoll/Aelib,479,https://github.com/Aeoll/Aelib,3
libc0607/Realtek_switch_hacking,467,https://github.com/libc0607/Realtek_switch_hacking,3
mathworks-robotics/awesome-matlab-robotics,456,https://github.com/mathworks-robotics/awesome-matlab-robotics,3
typst-cn/awesome-typst-cn,424,https://github.com/typst-cn/awesome-typst-cn,3
MarvNC/yomitan-dictionaries,416,https://github.com/MarvNC/yomitan-dictionaries,3
chainloop-dev/chainloop,378,https://github.com/chainloop-dev/chainloop,3
CycloneDX/specification,375,https://github.com/CycloneDX/specification,"3,4"
sashahart/vex,372,https://github.com/sashahart/vex,3
bnagy/cgasm,370,https://github.com/bnagy/cgasm,3
wyhinton/AwesomeHoudini,365,https://github.com/wyhinton/AwesomeHoudini,3
Pestov/best-of-awesomeness-and-usefulness-for-webdev,357,https://github.com/Pestov/best-of-awesomeness-and-usefulness-for-webdev,3
CMB/edbrowse,350,https://github.com/CMB/edbrowse,3
angr/pyvex,345,https://github.com/angr/pyvex,3
nedpals/vex,342,https://github.com/nedpals/vex,3
asmjit/asmdb,331,https://github.com/asmjit/asmdb,3
mektigboy/evm-chad,331,https://github.com/mektigboy/evm-chad,3
cointastical/P2P-Trading-Exchanges,327,https://github.com/cointastical/P2P-Trading-Exchanges,3
CycloneDX/cyclonedx-cli,321,https://github.com/CycloneDX/cyclonedx-cli,4
GrammaTech/gtirb,320,https://github.com/GrammaTech/gtirb,3
xGinko/AnarchyExploitFixes,318,https://github.com/xGinko/AnarchyExploitFixes,3
devtooligan/awesome-huff,310,https://github.com/devtooligan/awesome-huff,3
CycloneDX/cyclonedx-maven-plugin,303,https://github.com/CycloneDX/cyclonedx-maven-plugin,4
bureado/awesome-software-supply-chain-security,300,https://github.com/bureado/awesome-software-supply-chain-security,3
Xunnamius/next-test-api-route-handler,298,https://github.com/Xunnamius/next-test-api-route-handler,3
garyaiki/Scala-Algorithms,295,https://github.com/garyaiki/Scala-Algorithms,3
reubano/pygogo,282,https://github.com/reubano/pygogo,3
purduesigbots/pros,274,https://github.com/purduesigbots/pros,3
bsauce/Some-Papers-About-Fuzzing,273,https://github.com/bsauce/Some-Papers-About-Fuzzing,3
jilleb/mqb-pm,271,https://github.com/jilleb/mqb-pm,3
china-testing/python_cn_resouce,262,https://github.com/china-testing/python_cn_resouce,3
chloneda/vim-cheatsheet,260,https://github.com/chloneda/vim-cheatsheet,3
muqsitnawaz/modern-cpp-cheatsheet,259,https://github.com/muqsitnawaz/modern-cpp-cheatsheet,3
wmkhoo/taintgrind,254,https://github.com/wmkhoo/taintgrind,3
tunnckoCore/resources,248,https://github.com/tunnckoCore/resources,3
philippotto/Piano-Trainer,245,https://github.com/philippotto/Piano-Trainer,3
ffd8/P5LIVE,235,https://github.com/ffd8/P5LIVE,3
bin2415/fuzzing_paper,226,https://github.com/bin2415/fuzzing_paper,3
RobRich999/Chromium_Clang,223,https://github.com/RobRich999/Chromium_Clang,3
dale3h/alexa-skills-list,222,https://github.com/dale3h/alexa-skills-list,3
jakub-zawislak/formex,221,https://github.com/jakub-zawislak/formex,3
anchore/scan-action,221,https://github.com/anchore/scan-action,3
HackathonHackers/groups,218,https://github.com/HackathonHackers/groups,3
themefisher/vex-hugo,217,https://github.com/themefisher/vex-hugo,3
andrew-lowell/HMT,207,https://github.com/andrew-lowell/HMT,3
marudor/flowInterfaces,204,https://github.com/marudor/flowInterfaces,3
jasonwebb/2d-space-colonization-experiments,197,https://github.com/jasonwebb/2d-space-colonization-experiments,3
CycloneDX/cyclonedx-dotnet,195,https://github.com/CycloneDX/cyclonedx-dotnet,4
casics/nostril,192,https://github.com/casics/nostril,3
CycloneDX/bom-examples,189,https://github.com/CycloneDX/bom-examples,"3,4"
ossf/wg-vulnerability-disclosures,183,https://github.com/ossf/wg-vulnerability-disclosures,3
tari/llvm-sys.rs,180,https://github.com/tari/llvm-sys.rs,3
aliesbelik/load-testing-toolkit,178,https://github.com/aliesbelik/load-testing-toolkit,3
spulec/PyQS,174,https://github.com/spulec/PyQS,3
aengelke/fadec,172,https://github.com/aengelke/fadec,3
teared/VEX,169,https://github.com/teared/VEX,"3,4"
mcmonkeyprojects/Sentinel,167,https://github.com/mcmonkeyprojects/Sentinel,3
dan-rodrigues/icestation-32,157,https://github.com/dan-rodrigues/icestation-32,3
nepaul/awesome-web-development,155,https://github.com/nepaul/awesome-web-development,3
paulwinex/pw_Houdini_VEX_Editor,151,https://github.com/paulwinex/pw_Houdini_VEX_Editor,3
jtomori/vft,147,https://github.com/jtomori/vft,"3,4"
gmkzwwg/pRoJEct-VeXEd,146,https://github.com/gmkzwwg/pRoJEct-VeXEd,3
iliterobotics/3D,145,https://github.com/iliterobotics/3D,3
CortexPE/TeaSpoon,144,https://github.com/CortexPE/TeaSpoon,3
LemLib/LemLib,142,https://github.com/LemLib/LemLib,4
trevorsandy/lpub3d,141,https://github.com/trevorsandy/lpub3d,4
vamsiikrishna/vex,140,https://github.com/vamsiikrishna/vex,3
CycloneDX/cyclonedx-gomod,139,https://github.com/CycloneDX/cyclonedx-gomod,4
openvex/spec,138,https://github.com/openvex/spec,3
gethugothemes/hargo-hugo,138,https://github.com/gethugothemes/hargo-hugo,3
chughes757/SecureSoftwareSupplyChain,137,https://github.com/chughes757/SecureSoftwareSupplyChain,3
mitre/saf,137,https://github.com/mitre/saf,3
Fare9/KUNAI-static-analyzer,136,https://github.com/Fare9/KUNAI-static-analyzer,3
ribponce/particula,134,https://github.com/ribponce/particula,3
DISTRHO/Ildaeil,131,https://github.com/DISTRHO/Ildaeil,3
alphaSeclab/DBI-Stuff,131,https://github.com/alphaSeclab/DBI-Stuff,3
CorvaeOboro/zenv,131,https://github.com/CorvaeOboro/zenv,4
vishalgarg-sec/Software-Supply-Chain-Security,130,https://github.com/vishalgarg-sec/Software-Supply-Chain-Security,"3,4"
RevanthRameshkumar/CRD3,129,https://github.com/RevanthRameshkumar/CRD3,3
DavidWells/awesome-stoicism,126,https://github.com/DavidWells/awesome-stoicism,3
RUB-SysSec/Marx,125,https://github.com/RUB-SysSec/Marx,3
lifting-bits/codereason,125,https://github.com/lifting-bits/codereason,3
openvex/vexctl,124,https://github.com/openvex/vexctl,"3,4"
MaxChen/awesome-swift-and-tutorial-resources,124,https://github.com/MaxChen/awesome-swift-and-tutorial-resources,3
umegaya/lua-aws,122,https://github.com/umegaya/lua-aws,3
gongyi420/MUSIC-LOVER,121,https://github.com/gongyi420/MUSIC-LOVER,3
animetosho/md5-optimisation,120,https://github.com/animetosho/md5-optimisation,3
thi-ng/houdini,116,https://github.com/thi-ng/houdini,3
richgel999/CppSPMD_Fast,115,https://github.com/richgel999/CppSPMD_Fast,3
gribouille/awesome-python,115,https://github.com/gribouille/awesome-python,3
OSSPhilippines/awesome-pinoy-made,112,https://github.com/OSSPhilippines/awesome-pinoy-made,3
andrewda/awesome-frc,111,https://github.com/andrewda/awesome-frc,3
CycloneDX/cyclonedx-rust-cargo,110,https://github.com/CycloneDX/cyclonedx-rust-cargo,4
purduesigbots/pros-cli,108,https://github.com/purduesigbots/pros-cli,3
probiner/DASH,108,https://github.com/probiner/DASH,4
nitzan-treg/ntLib,107,https://github.com/nitzan-treg/ntLib,3
McFlyWYF/CampusTourGuideSystem,107,https://github.com/McFlyWYF/CampusTourGuideSystem,3
angr/vex,105,https://github.com/angr/vex,3
OkapiLib/OkapiLib,101,https://github.com/OkapiLib/OkapiLib,3
carbonetes/jacked,101,https://github.com/carbonetes/jacked,3
